mm_title,mm_name,category,flabel,sdesc,ldesc
Maturity Level 1 (Basic Information),maturity_level_1,content,Domain / Topic,Domain or topic of the dataset.,The theme or topic of the package.
Maturity Level 1 (Basic Information),maturity_level_1,content,title,Title for the Dataset.,Title for the dataset. Often assigned by the creator or publisher.
Maturity Level 1 (Basic Information),maturity_level_1,content,Identifier,Unique identifier for the dataset.,Unique identifier for the dataset. Often assigned by the creator or publisher.
Maturity Level 1 (Basic Information),maturity_level_1,content,description,A description of the dataset.,A description of the dataset. Often provided by the creator or publisher.
Maturity Level 1 (Basic Information),maturity_level_1,content,tags,Keywords/tags categorizing the dataset.,Keywords/tags categorizing the dataset. Often provided by the creator or publisher.
Maturity Level 1 (Basic Information),maturity_level_1,access,format,Format of rof the dataset.,"Froamt of the dataset can indicate its file type (e.g. csv, pdf, ttl)."
Maturity Level 1 (Basic Information),maturity_level_1,access,Access category,"Type of access granted for the dataset (open, closed, etc).","Access category provides a description of the licensing rights for accessing the dataset. Often provided by the rights owner, creator or publisher."
Maturity Level 1 (Basic Information),maturity_level_1,access,license,License used to access the dataset.,License used to access the dataset. Often provided by the creator or publisher.
Maturity Level 1 (Basic Information),maturity_level_1,ownership,author,Author of the dataset.,Author's name or authoring organization for the dataset.
Maturity Level 1 (Basic Information),maturity_level_1,access,Location,Location of the dataset.,"Locatiom where the datset canbe accessed, such as a URL."
Maturity Level 1 (Basic Information),maturity_level_1,ownership,Owner,Author of the dataset.,Author's name or authoring organization for the dataset.
Maturity Level 1 (Basic Information),maturity_level_1,provenance,Published Date,Published date of the dataset.,Published date of the dataset. Often provided by the creator or publisher.
Maturity Level 1 (Basic Information),maturity_level_1,tempo_geo,Time Span (start date),Start date of the data in the dataset.,First date the data was collected for. This is not the date it was collected but the earliest date of the data values.
Maturity Level 1 (Basic Information),maturity_level_1,tempo_geo,Time Span (end date),End date of time data in the dataset.,Last date the data was collected for. This is not the date it was collected but the latest date of the data values.
Maturity Level 1 (Basic Information),maturity_level_1,tempo_geo,GeoSpatial Area Span,A spatial region or named place the dataset covers.,This data represents the geospatial area the dataset covers. This may be captured as a data column or simply defined by the creator or publisher.
"Maturity Level 2 (Privacy, including Indigenous data)",maturity_level_2,content,Contains Individual Data,Does the data hold individualized data?,"Does the data hold individualized data? If yes, the dataset is aggregated at the individual level."
